	Drug_id	Drug_name	Indication	Indi_UMLS_concept	Semtype	cui	Drug-Indication
14	DB00006	Bivalirudin	Acute Coronary Syndromes (ACS)	Acute Coronary Syndrome	[dsyn]	C0948089	Bivalirudin Acute Coronary Syndrome
15	DB00006	Bivalirudin	Thrombotic events	Thrombus	[patf]	C0087086	Bivalirudin Thrombus
16	DB00007	Leuprolide	Advanced Prostate Cancer	advanced cancer	[neop]	C0877373	Leuprolide advanced cancer
17	DB00007	Leuprolide	Breast Cancer	Malignant neoplasm of breast	[neop]	C0006142	Leuprolide Malignant neoplasm of breast
18	DB00007	Leuprolide	Central Precocious Puberty (CPP)	Central Precocious Puberty	[dsyn]	C0342543	Leuprolide Central Precocious Puberty
19	DB00007	Leuprolide	Endometriosis	Endometriosis	[dsyn]	C0014175	Leuprolide Endometriosis
20	DB00007	Leuprolide	Infertilities	Infertility	[patf]	C0021359	Leuprolide Infertility
22	DB00007	Leuprolide	Paraphilia	Paraphilias	[mobd]	C0030482	Leuprolide Paraphilias
23	DB00007	Leuprolide	Uterine Leiomyomas	Uterine Fibroids	[neop]	C0042133	Leuprolide Uterine Fibroids
24	DB00007	Leuprolide	Symptom recurrence	Recurrent Malignant Neoplasm	[neop]	C1458156	Leuprolide Recurrent Malignant Neoplasm
25	DB00008	Peginterferon alfa-2a	Hepatitis B Chronic Infection	Hepatitis B	[dsyn]	C0019163	Peginterferon alfa-2a Hepatitis B
26	DB00008	Peginterferon alfa-2a	Compensated liver disease	Compensated liver disease	[dsyn]	C3839044	Peginterferon alfa-2a Compensated liver disease
27	DB00009	Alteplase	Acute Ischemic Stroke (AIS)	Acute Cerebrovascular Accidents	[dsyn]	C0751956	Alteplase Acute Cerebrovascular Accidents
28	DB00009	Alteplase	Acute Myocardial Infarction (AMI)	Acute myocardial infarction	[dsyn]	C0155626	Alteplase Acute myocardial infarction
29	DB00009	Alteplase	Acute massive pulmonary embolism	Acute massive pulmonary embolism	[dsyn]	C0340535	Alteplase Acute massive pulmonary embolism
30	DB00009	Alteplase	Central venous access device thrombosis	Venous Thrombosis	[patf]	C0042487	Alteplase Venous Thrombosis
31	DB00012	Darbepoetin alfa	Anemias	Anemia	[dsyn]	C0002871	Darbepoetin alfa Anemia
32	DB00014	Goserelin	Advanced Breast Cancer	advanced cancer	[neop]	C0877373	Goserelin advanced cancer
33	DB00014	Goserelin	Endometriosis	Endometriosis	[dsyn]	C0014175	Goserelin Endometriosis
34	DB00014	Goserelin	Stage I Breast Carcinoma	malignant neoplasm of breast stage I	[neop]	C2216695	Goserelin malignant neoplasm of breast stage I
35	DB00014	Goserelin	Advanced carcinoma of the prostate	Prostate carcinoma	[neop]	C0600139	Goserelin Prostate carcinoma
41	DB00014	Goserelin	Endometrial thinning prior to endometrial ablation for dysfunctional uterine bleeding	Metrorrhagia	[patf]	C0025874	Goserelin Metrorrhagia
42	DB00015	Reteplase	Acute Myocardial Infarction (AMI)	Acute myocardial infarction	[dsyn]	C0155626	Reteplase Acute myocardial infarction
44	DB00015	Reteplase	Congestive Heart Failure	Congestive heart failure	[dsyn]	C0018802	Reteplase Congestive heart failure
46	DB00016	Erythropoietin	Anemias	Anemia	[dsyn]	C0002871	Erythropoietin Anemia
48	DB00017	Salmon Calcitonin	Hypercalcemia	Hypercalcemia	[dsyn]	C0020437	Salmon Calcitonin Hypercalcemia
49	DB00017	Salmon Calcitonin	Osteoporosis	Osteoporosis	[dsyn]	C0029456	Salmon Calcitonin Osteoporosis
50	DB00017	Salmon Calcitonin	Symptomatic Paget's disease	Paget Disease	[neop]	C1368019	Salmon Calcitonin Paget Disease
51	DB00018	Interferon alfa-n3	Refractory Condylomata acuminata of the external	Condylomata Acuminata	[dsyn]	C0009663	Interferon alfa-n3 Condylomata Acuminata
52	DB00019	Pegfilgrastim	Chemotherapy Induced Neutropenia	Neutropenia	[dsyn]	C0027947	Pegfilgrastim Neutropenia
53	DB00019	Pegfilgrastim	Hematopoietic Subsyndrome of Acute Radiation Syndrome	Hematopoietic subsyndrome of acute radiation syndrome	[dsyn]	C4509926	Pegfilgrastim Hematopoietic subsyndrome of acute radiation syndrome
54	DB00019	Pegfilgrastim	Infection NOS	Communicable Diseases	[dsyn]	C0009450	Pegfilgrastim Communicable Diseases
55	DB00020	Sargramostim	Bone Marrow Suppression	Bone Marrow Suppression	[dsyn]	C0280962	Sargramostim Bone Marrow Suppression
57	DB00020	Sargramostim	Graft Failure	Graft failure	[patf]	C1262018	Sargramostim Graft failure
58	DB00020	Sargramostim	Neutropenia	Neutropenia	[dsyn]	C0027947	Sargramostim Neutropenia
60	DB00022	Peginterferon alfa-2b	Chronic Hepatitis C Virus (HCV) Infection	Hepatitis C, Chronic	[dsyn]	C0524910	Peginterferon alfa-2b Hepatitis C, Chronic
61	DB00022	Peginterferon alfa-2b	Melanoma	melanoma	[neop]	C0025202	Peginterferon alfa-2b melanoma
62	DB00023	Asparaginase Escherichia coli	Acute Lymphoblastic Leukaemias (ALL)	Acute lymphocytic leukemia	[neop]	C0023449	Asparaginase Escherichia coli Acute lymphocytic leukemia
63	DB00024	Thyrotropin alfa	Thyroid Cancers	Malignant neoplasm of thyroid	[neop]	C0007115	Thyrotropin alfa Malignant neoplasm of thyroid
66	DB00025	Antihemophilic factor, human recombinant	Bleeding	Hemorrhage	[patf]	C0019080	Antihemophilic factor, human recombinant Hemorrhage
68	DB00025	Antihemophilic factor, human recombinant	Postoperative Hemorrhages	Postoperative Hemorrhage	[patf]	C0032788	Antihemophilic factor, human recombinant Postoperative Hemorrhage
71	DB00026	Anakinra	Juvenile Idiopathic Arthritis (JIA)	Juvenile arthritis	[dsyn]	C3495559	Anakinra Juvenile arthritis
72	DB00026	Anakinra	Neonatal-onset multisystemic inflammatory disease	Inflammatory disorder	[dsyn]	C1290884	Anakinra Inflammatory disorder
73	DB00026	Anakinra	Moderate Rheumatoid arthritis	Rheumatoid Arthritis	[dsyn]	C0003873	Anakinra Rheumatoid Arthritis
76	DB00027	Gramicidin D	Superficial Eye Infections	Eye Infection	[dsyn]	C0015403	Gramicidin D Eye Infection
77	DB00028	Immune globulin human	B-Cell Chronic Lymphocytic Leukemia	Chronic Lymphocytic Leukemia	[neop]	C0023434	Immune globulin human Chronic Lymphocytic Leukemia
78	DB00028	Immune globulin human	Bruton's agammaglobulinemia	X-linked agammaglobulinemia	[dsyn]	C0221026	Immune globulin human X-linked agammaglobulinemia
79	DB00028	Immune globulin human	Chronic Idiopathic Thrombocytopenic Purpura	Chronic idiopathic thrombocytopenic purpura	[dsyn]	C0272293	Immune globulin human Chronic idiopathic thrombocytopenic purpura
80	DB00028	Immune globulin human	Chronic Inflammatory Demyelinating Polyneuropathy (CIDP)	Polyradiculoneuropathy, Chronic Inflammatory Demyelinating	[dsyn]	C0393819	Immune globulin human Polyradiculoneuropathy, Chronic Inflammatory Demyelinating
81	DB00028	Immune globulin human	Common Variable Immunodeficiency	Acquired Hypogammaglobulinemia	[dsyn]	C2936664	Immune globulin human Acquired Hypogammaglobulinemia
83	DB00028	Immune globulin human	Kawasaki Syndrome	Mucocutaneous Lymph Node Syndrome	[dsyn]	C0026691	Immune globulin human Mucocutaneous Lymph Node Syndrome
85	DB00030	Insulin human	Diabetes Mellitus (DM)	Diabetes Mellitus	[dsyn]	C0011849	Insulin human Diabetes Mellitus
86	DB00031	Tenecteplase	ST Elevation Myocardial Infarction (STEMI)	ST segment elevation myocardial infarction	[dsyn]	C1536220	Tenecteplase ST segment elevation myocardial infarction
88	DB00033	Interferon gamma-1b	Chronic Granulomatous Disease (CGD)	Chronic granulomatous disease	[dsyn]	C0018203	Interferon gamma-1b Chronic granulomatous disease
89	DB00033	Interferon gamma-1b	Severe, malignant Osteopetrosis	Autosomal Recessive Osteopetrosis	[dsyn]	C4272578	Interferon gamma-1b Autosomal Recessive Osteopetrosis
90	DB00035	Desmopressin	Bleeding	Hemorrhage	[patf]	C0019080	Desmopressin Hemorrhage
91	DB00035	Desmopressin	Central Diabetes Insipidus	Central Diabetes Insipidus	[dsyn]	C0687720	Desmopressin Central Diabetes Insipidus
92	DB00035	Desmopressin	Nocturia	Nocturia	[dsyn]	C0028734	Desmopressin Nocturia
96	DB00036	Coagulation factor VIIa Recombinant Human	Bleeding	Hemorrhage	[patf]	C0019080	Coagulation factor VIIa Recombinant Human Hemorrhage
98	DB00039	Palifermin	Oral Mucositis	Oral Mucositis	[dsyn]	C1568868	Palifermin Oral Mucositis
99	DB00040	Glucagon	Severe Hypoglycemia	Hypoglycemia	[dsyn]	C0020615	Glucagon Hypoglycemia
100	DB00041	Aldesleukin	High Risk Neuroblastoma	Central neuroblastoma	[neop]	C0700095	Aldesleukin Central neuroblastoma
101	DB00041	Aldesleukin	Metastatic Melanoma	Metastatic melanoma	[neop]	C0278883	Aldesleukin Metastatic melanoma
102	DB00041	Aldesleukin	Metastatic Renal Cell Carcinoma	Metastatic Renal Cell Cancer	[neop]	C0278678	Aldesleukin Metastatic Renal Cell Cancer
104	DB00042	Botulinum Toxin Type B	Sialorrhea	Sialorrhea	[dsyn]	C0037036	Botulinum Toxin Type B Sialorrhea
105	DB00043	Omalizumab	Chronic Idiopathic Urticaria	Chronic idiopathic urticaria	[dsyn]	C0578870	Omalizumab Chronic idiopathic urticaria
108	DB00044	Lutropin alfa	Hypogonadism	Hypogonadism	[dsyn]	C0020619	Lutropin alfa Hypogonadism
109	DB00044	Lutropin alfa	Infertilities	Infertility	[patf]	C0021359	Lutropin alfa Infertility
110	DB00046	Insulin lispro	Diabetes Mellitus (DM)	Diabetes Mellitus	[dsyn]	C0011849	Insulin lispro Diabetes Mellitus
111	DB00046	Insulin lispro	Diabetic Ketoacidosis	Diabetic Ketoacidosis	[dsyn]	C0011880	Insulin lispro Diabetic Ketoacidosis
112	DB00046	Insulin lispro	Gestational Diabetes Mellitus (GDM)	Gestational Diabetes	[dsyn]	C0085207	Insulin lispro Gestational Diabetes
113	DB00046	Insulin lispro	Hyperglycemias	Hyperglycemia	[dsyn]	C0020456	Insulin lispro Hyperglycemia
114	DB00047	Insulin glargine	Diabetes Mellitus (DM)	Diabetes Mellitus	[dsyn]	C0011849	Insulin glargine Diabetes Mellitus
115	DB00047	Insulin glargine	Hyperglycemias	Hyperglycemia	[dsyn]	C0020456	Insulin glargine Hyperglycemia
116	DB00047	Insulin glargine	Type 2 Diabetes Mellitus	Diabetes Mellitus, Non-Insulin-Dependent	[dsyn]	C0011860	Insulin glargine Diabetes Mellitus, Non-Insulin-Dependent
117	DB00048	Collagenase clostridium histolyticum	Dupuytren’s Contracture	Dupuytren Contracture	[dsyn]	C0013312	Collagenase clostridium histolyticum Dupuytren Contracture
118	DB00048	Collagenase clostridium histolyticum	Peyronie's Disease	Peyronie Disease	[dsyn]	C0030848	Collagenase clostridium histolyticum Peyronie Disease
120	DB00049	Rasburicase	Hyperuricemia	Hyperuricemia	[dsyn]	C0740394	Rasburicase Hyperuricemia
122	DB00051	Adalimumab	Crohn's Disease (CD)	Crohn Disease	[dsyn]	C0010346	Adalimumab Crohn Disease
123	DB00051	Adalimumab	Non-infectious Intermediate, Posterior and Panuveitis	Panuveitis	[dsyn]	C0030343	Adalimumab Panuveitis
124	DB00051	Adalimumab	Pediatric Crohn's Disease	Pediatric Crohn's disease	[dsyn]	C2931133	Adalimumab Pediatric Crohn's disease
125	DB00051	Adalimumab	Psoriatic arthritis aggravated	Arthritis, Psoriatic	[dsyn]	C0003872	Adalimumab Arthritis, Psoriatic
126	DB00051	Adalimumab	Pyoderma Gangrenosum	Pyoderma Gangrenosum	[dsyn]	C0085652	Adalimumab Pyoderma Gangrenosum
127	DB00051	Adalimumab	Severe Plaque psoriasis	Chronic small plaque psoriasis	[dsyn]	C0406317	Adalimumab Chronic small plaque psoriasis
128	DB00051	Adalimumab	Severe Ulcerative Colitis	Ulcerative Colitis	[dsyn]	C0009324	Adalimumab Ulcerative Colitis
129	DB00051	Adalimumab	Active Ankylosing spondylitis	Ankylosing spondylitis	[dsyn]	C0038013	Adalimumab Ankylosing spondylitis
130	DB00051	Adalimumab	Moderate Hidradenitis Suppurativa	Hidradenitis Suppurativa	[dsyn]	C0162836	Adalimumab Hidradenitis Suppurativa
131	DB00051	Adalimumab	Moderate Juvenile idiopathic arthritis	Juvenile arthritis	[dsyn]	C3495559	Adalimumab Juvenile arthritis
133	DB00051	Adalimumab	Moderate Rheumatoid arthritis	Rheumatoid Arthritis	[dsyn]	C0003873	Adalimumab Rheumatoid Arthritis
138	DB00052	Somatotropin	Adult Onset Growth Hormone Deficiency	Adult-onset growth hormone deficiency	[dsyn]	C1720534	Somatotropin Adult-onset growth hormone deficiency
140	DB00052	Somatotropin	Childhood-onset Growth Hormone Deficiency	Somatotropin deficiency	[dsyn]	C0271561	Somatotropin Somatotropin deficiency
141	DB00052	Somatotropin	Growth Failure	Failure to Thrive	[dsyn]	C0015544	Somatotropin Failure to Thrive
142	DB00052	Somatotropin	Short Bowel Syndrome (SBS)	Short Bowel Syndrome	[dsyn]	C0036992	Somatotropin Short Bowel Syndrome
144	DB00053	Imiglucerase	Gaucher's Disease Type 1	Gaucher Disease, Type 1	[dsyn]	C1961835	Imiglucerase Gaucher Disease, Type 1
145	DB00053	Imiglucerase	Type 3 Gaucher disease	Gaucher Disease, Type 3 (disorder)	[dsyn]	C0268251	Imiglucerase Gaucher Disease, Type 3 (disorder)
146	DB00054	Abciximab	Thrombotic events	Thrombus	[patf]	C0087086	Abciximab Thrombus
147	DB00056	Gemtuzumab ozogamicin	Leukemia Acute Myeloid Leukemia (AML)	Leukemia, Myelocytic, Acute	[neop]	C0023467	Gemtuzumab ozogamicin Leukemia, Myelocytic, Acute
148	DB00056	Gemtuzumab ozogamicin	Refractory Acute Myeloid Leukemia	Refractory Acute Myeloid Leukemia	[neop]	C4528668	Gemtuzumab ozogamicin Refractory Acute Myeloid Leukemia
150	DB00058	Alpha-1-proteinase inhibitor	Emphysema	Pathological accumulation of air in tissues	[patf]	C0013990	Alpha-1-proteinase inhibitor Pathological accumulation of air in tissues
151	DB00059	Pegaspargase	Acute Lymphoblastic Leukaemias (ALL)	Acute lymphocytic leukemia	[neop]	C0023449	Pegaspargase Acute lymphocytic leukemia
152	DB00060	Interferon beta-1a	Relapsing Remitting Multiple Sclerosis (RRMS)	Multiple Sclerosis, Relapsing-Remitting	[dsyn]	C0751967	Interferon beta-1a Multiple Sclerosis, Relapsing-Remitting
153	DB00061	Pegademase	Adenosine Deaminase Deficiency	Adenosine deaminase deficiency	[dsyn]	C0268124	Pegademase Adenosine deaminase deficiency
154	DB00062	Human Serum Albumin	Acute Pyelonephritis	Acute pyelonephritis	[dsyn]	C0520575	Human Serum Albumin Acute pyelonephritis
155	DB00062	Human Serum Albumin	Allergies	Hypersensitivity	[patf]	C0020517	Human Serum Albumin Hypersensitivity
156	DB00062	Human Serum Albumin	Hypoalbuminemia	Hypoalbuminemia	[dsyn]	C0239981	Human Serum Albumin Hypoalbuminemia
157	DB00062	Human Serum Albumin	Hypoproteinemia	Hypoproteinemia	[dsyn]	C0020639	Human Serum Albumin Hypoproteinemia
159	DB00062	Human Serum Albumin	Hypovolemic Shock	Hypovolemic Shock	[patf]	C0020683	Human Serum Albumin Hypovolemic Shock
160	DB00062	Human Serum Albumin	Acute fulminant liver failure	Liver Failure, Acute	[dsyn]	C0162557	Human Serum Albumin Liver Failure, Acute
162	DB00062	Human Serum Albumin	Hyperbilirubinemia in neonates	Hyperbilirubinemia	[dsyn]	C0020433	Human Serum Albumin Hyperbilirubinemia
164	DB00063	Eptifibatide	Acute Coronary Syndromes (ACS)	Acute Coronary Syndrome	[dsyn]	C0948089	Eptifibatide Acute Coronary Syndrome
165	DB00063	Eptifibatide	Thrombotic events	Thrombus	[patf]	C0087086	Eptifibatide Thrombus
166	DB00065	Infliximab	Ankylosing Spondylitis (AS)	Ankylosing spondylitis	[dsyn]	C0038013	Infliximab Ankylosing spondylitis
167	DB00065	Infliximab	Crohn's Disease (CD)	Crohn Disease	[dsyn]	C0010346	Infliximab Crohn Disease
168	DB00065	Infliximab	Psoriasis Vulgaris (Plaque Psoriasis)	Psoriasis vulgaris	[dsyn]	C0263361	Infliximab Psoriasis vulgaris
169	DB00065	Infliximab	Psoriatic Arthritis	Arthritis, Psoriatic	[dsyn]	C0003872	Infliximab Arthritis, Psoriatic
170	DB00065	Infliximab	Rheumatoid Arthritis	Rheumatoid Arthritis	[dsyn]	C0003873	Infliximab Rheumatoid Arthritis
171	DB00065	Infliximab	Ulcerative Colitis	Ulcerative Colitis	[dsyn]	C0009324	Infliximab Ulcerative Colitis
175	DB00067	Vasopressin	Acute Circulatory Failure	Shock	[patf]	C0036974	Vasopressin Shock
176	DB00068	Interferon beta-1b	Relapsing Remitting Multiple Sclerosis (RRMS)	Multiple Sclerosis, Relapsing-Remitting	[dsyn]	C0751967	Interferon beta-1b Multiple Sclerosis, Relapsing-Remitting
177	DB00068	Interferon beta-1b	Secondary Progressive Multiple Sclerosis (SPMS)	Multiple Sclerosis, Secondary Progressive	[dsyn]	C0751965	Interferon beta-1b Multiple Sclerosis, Secondary Progressive
178	DB00070	Hyaluronidase (ovine)	Chronic Lymphocytic Leukaemia (CLL)	Chronic Lymphocytic Leukemia	[neop]	C0023434	Hyaluronidase (ovine) Chronic Lymphocytic Leukemia
179	DB00070	Hyaluronidase (ovine)	Follicular Lymphoma (FL)	Lymphoma, Follicular	[neop]	C0024301	Hyaluronidase (ovine) Lymphoma, Follicular
180	DB00070	Hyaluronidase (ovine)	Lymphoma, Large B-Cell, Diffuse (DLBCL)	Diffuse Large B-Cell Lymphoma	[neop]	C0079744	Hyaluronidase (ovine) Diffuse Large B-Cell Lymphoma
181	DB00070	Hyaluronidase (ovine)	Refractory Follicular Lymphoma	Refractory Follicular Lymphoma	[neop]	C1335723	Hyaluronidase (ovine) Refractory Follicular Lymphoma
183	DB00070	Hyaluronidase (ovine)	Non-progressive Follicular Lymphoma	Non-follicular lymphoma	[neop]	C2853945	Hyaluronidase (ovine) Non-follicular lymphoma
188	DB00071	Insulin Pork	Type 1 Insulin-Dependent Diabetes Mellitus	Diabetes Mellitus, Insulin-Dependent	[dsyn]	C0011854	Insulin Pork Diabetes Mellitus, Insulin-Dependent
189	DB00072	Trastuzumab	Breast Cancer	Malignant neoplasm of breast	[neop]	C0006142	Trastuzumab Malignant neoplasm of breast
190	DB00072	Trastuzumab	Metastatic Adenocarcinoma of the Gastro-Esophageal Junction	Gastroesophageal Junction Adenocarcinoma	[neop]	C1332166	Trastuzumab Gastroesophageal Junction Adenocarcinoma
191	DB00072	Trastuzumab	Metastatic Adenocarcinoma of the Stomach	Gastric Adenocarcinoma	[neop]	C0278701	Trastuzumab Gastric Adenocarcinoma
192	DB00072	Trastuzumab	Metastatic Breast Cancer (MBC)	Carcinoma breast stage IV	[neop]	C0278488	Trastuzumab Carcinoma breast stage IV
194	DB00073	Rituximab	Chronic Lymphocytic Leukaemia (CLL)	Chronic Lymphocytic Leukemia	[neop]	C0023434	Rituximab Chronic Lymphocytic Leukemia
195	DB00073	Rituximab	Granulomatosis With Polyangiitis	Granulomatosis with polyangiitis	[dsyn]	C3495801	Rituximab Granulomatosis with polyangiitis
197	DB00073	Rituximab	Microscopic Polyangiitis	Microscopic Polyarteritis	[dsyn]	C2347126	Rituximab Microscopic Polyarteritis
199	DB00073	Rituximab	Non-Hodgkin's Lymphoma (NHL)	Lymphoma, Non-Hodgkin	[neop]	C0024305	Rituximab Lymphoma, Non-Hodgkin
200	DB00073	Rituximab	Pemphigus Vulgaris (PV)	Pemphigus Vulgaris	[dsyn]	C0030809	Rituximab Pemphigus Vulgaris
201	DB00073	Rituximab	Moderate Rheumatoid arthritis	Rheumatoid Arthritis	[dsyn]	C0003873	Rituximab Rheumatoid Arthritis
204	DB00074	Basiliximab	Kidney Transplant Rejection	Renal transplant rejection	[patf]	C0238217	Basiliximab Renal transplant rejection
205	DB00075	Muromonab	Kidney Transplant Rejection	Renal transplant rejection	[patf]	C0238217	Muromonab Renal transplant rejection
206	DB00075	Muromonab	Steroid resistant Heart transplant rejection	Cardiac transplant rejection	[patf]	C0340530	Muromonab Cardiac transplant rejection
210	DB00078	Ibritumomab tiuxetan	Follicular Non-Hodgkin's Lymphoma	Lymphoma, Follicular	[neop]	C0024301	Ibritumomab tiuxetan Lymphoma, Follicular
212	DB00080	Daptomycin	Bacteremia	Bacteremia	[dsyn]	C0004610	Daptomycin Bacteremia
213	DB00080	Daptomycin	Skin and Subcutaneous Tissue Bacterial Infections	Skin Diseases, Bacterial	[dsyn]	C0162627	Daptomycin Skin Diseases, Bacterial
214	DB00080	Daptomycin	Right-sided Infective pericarditis	Infectious pericarditis	[dsyn]	C0265147	Daptomycin Infectious pericarditis
215	DB00082	Pegvisomant	Acromegaly	Acromegaly	[dsyn]	C0001206	Pegvisomant Acromegaly
216	DB00083	Botulinum toxin type A	Blepharospasm	Blepharospasm	[dsyn]	C0005747	Botulinum toxin type A Blepharospasm
218	DB00083	Botulinum toxin type A	Chronic Migraine	Transformed migraine	[dsyn]	C1960870	Botulinum toxin type A Transformed migraine
221	DB00083	Botulinum toxin type A	Sialorrhea	Sialorrhea	[dsyn]	C0037036	Botulinum toxin type A Sialorrhea
222	DB00083	Botulinum toxin type A	Strabismus	Strabismus	[dsyn]	C0038379	Botulinum toxin type A Strabismus
224	DB00083	Botulinum toxin type A	Urinary Bladder, Overactive	Overactive Bladder	[dsyn]	C0878773	Botulinum toxin type A Overactive Bladder
226	DB00083	Botulinum toxin type A	Detrusor overactivity, neurologic conditions	nervous system disorder	[dsyn]	C0027765	Botulinum toxin type A nervous system disorder
227	DB00083	Botulinum toxin type A	Hypertonicity disorders of the 7th nerve	Hyperosmolality	[dsyn]	C0268009	Botulinum toxin type A Hyperosmolality
232	DB00085	Pancrelipase	Exocrine Pancreatic Insufficiency	Exocrine pancreatic insufficiency	[dsyn]	C0267963	Pancrelipase Exocrine pancreatic insufficiency
234	DB00085	Pancrelipase	Fat malabsorption	Intestinal malabsorption of fat	[patf]	C0554103	Pancrelipase Intestinal malabsorption of fat
235	DB00087	Alemtuzumab	Autoimmune Hemolytic Anemia	Autoimmune hemolytic anemia	[dsyn]	C0002880	Alemtuzumab Autoimmune hemolytic anemia
236	DB00087	Alemtuzumab	B-Cell Chronic Lymphocytic Leukemia	Chronic Lymphocytic Leukemia	[neop]	C0023434	Alemtuzumab Chronic Lymphocytic Leukemia
237	DB00087	Alemtuzumab	Graft Versus Host Disease (GVHD)	Graft-vs-Host Disease	[dsyn]	C0018133	Alemtuzumab Graft-vs-Host Disease
238	DB00087	Alemtuzumab	Kidney Transplant Rejection	Renal transplant rejection	[patf]	C0238217	Alemtuzumab Renal transplant rejection
239	DB00087	Alemtuzumab	Relapsing Remitting Multiple Sclerosis (RRMS)	Multiple Sclerosis, Relapsing-Remitting	[dsyn]	C0751967	Alemtuzumab Multiple Sclerosis, Relapsing-Remitting
240	DB00087	Alemtuzumab	T-Cell Prolymphocytic Leukemia	T-Cell Prolymphocytic Leukemia	[neop]	C2363142	Alemtuzumab T-Cell Prolymphocytic Leukemia
242	DB00089	Capromab pendetide	Prostate Cancer	Prostate carcinoma	[neop]	C0600139	Capromab pendetide Prostate carcinoma
243	DB00090	Laronidase	Type 1 Mucopolysaccharidosis	Mucopolysaccharidoses	[dsyn]	C0026703	Laronidase Mucopolysaccharidoses
244	DB00091	Cyclosporine	Atopic Dermatitis (AD)	Dermatitis, Atopic	[dsyn]	C0011615	Cyclosporine Dermatitis, Atopic
245	DB00091	Cyclosporine	Bone Marrow Transplant Rejection	Bone marrow transplant rejection	[patf]	C0340990	Cyclosporine Bone marrow transplant rejection
246	DB00091	Cyclosporine	Connective Tissue Disorders	Connective Tissue Diseases	[dsyn]	C0009782	Cyclosporine Connective Tissue Diseases
247	DB00091	Cyclosporine	Glomerulonephritis minimal lesion	Glomerulonephritis	[dsyn]	C0017658	Cyclosporine Glomerulonephritis
248	DB00091	Cyclosporine	Glomerulosclerosis, Focal Segmental	Focal glomerulosclerosis	[dsyn]	C0017668	Cyclosporine Focal glomerulosclerosis
249	DB00091	Cyclosporine	Graft Versus Host Disease (GVHD)	Graft-vs-Host Disease	[dsyn]	C0018133	Cyclosporine Graft-vs-Host Disease
250	DB00091	Cyclosporine	Heart Transplant Rejection	Cardiac transplant rejection	[patf]	C0340530	Cyclosporine Cardiac transplant rejection
251	DB00091	Cyclosporine	Idiopathic Thrombocytopenic Purpura	Immune thrombocytopenic purpura	[dsyn]	C0398650	Cyclosporine Immune thrombocytopenic purpura
252	DB00091	Cyclosporine	Interstitial Cystitis	Chronic interstitial cystitis	[dsyn]	C0600040	Cyclosporine Chronic interstitial cystitis
253	DB00091	Cyclosporine	Juvenile Idiopathic Arthritis (JIA)	Juvenile arthritis	[dsyn]	C3495559	Cyclosporine Juvenile arthritis
254	DB00091	Cyclosporine	Kidney Transplant Rejection	Renal transplant rejection	[patf]	C0238217	Cyclosporine Renal transplant rejection
255	DB00091	Cyclosporine	Liver Transplant Rejection	Liver transplant rejection	[patf]	C0400968	Cyclosporine Liver transplant rejection
256	DB00091	Cyclosporine	Nephritis, Lupus	Lupus Nephritis	[dsyn]	C0024143	Cyclosporine Lupus Nephritis
257	DB00091	Cyclosporine	Ocular Rosacea	Ocular Rosacea	[dsyn]	C0406486	Cyclosporine Ocular Rosacea
258	DB00091	Cyclosporine	Psoriasis	Psoriasis	[dsyn]	C0033860	Cyclosporine Psoriasis
259	DB00091	Cyclosporine	Severe Ulcerative Colitis	Ulcerative Colitis	[dsyn]	C0009324	Cyclosporine Ulcerative Colitis
261	DB00091	Cyclosporine	Blistering disorder	Disease	[dsyn]	C0012634	Cyclosporine Disease
